Provider CCN;Hospital Name;Fiscal Year Begin Date;Fiscal Year End Date;number_of_beds
141336;ST. JOSEPHS HOSPITAL-HIGHLAND IL;07/01/2021;6/30/2022;25
141337;OSF SAINT CLARE MEDICAL CENTER;05/01/2021;6/30/2021;25
141337;OSF SAINT CLARE MEDICAL CENTER;07/01/2021;9/30/2021;25
141338;MEMORIAL HOSPITAL;07/01/2021;6/30/2022;25
141339;TAYLORVILLE MEMORIAL HOSPITAL;10/01/2020;9/30/2021;25
141340;VALLEY WEST COMMUNITY HOSPITAL;09/01/2021;8/31/2022;25
141341;PANA COMMUNITY HOSPITAL;01/01/2021;12/31/2021;22
141342;UNION COUNTY HOSPITAL DISTRICT;01/01/2021;12/31/2021;25
141343;CRAWFORD MEMORIAL HOSPITAL;05/01/2021;4/30/2022;25
141344;LAWRENCE COUNTY MEMORIAL HOSPITAL;07/01/2021;6/30/2022;25
141345;SALEM TOWNSHIP HOSPITAL;04/01/2021;3/31/2022;25
141346;FAYETTE COUNTY HOSPITAL;07/01/2021;6/30/2022;110
141347;CARLINVILLE AREA HOSPITAL;08/01/2021;7/31/2022;25
141348;RED BUD REGIONAL HOSPITAL;07/01/2021;6/30/2022;25
141349;SPARTA COMMUNITY HOSPITAL;07/01/2021;6/30/2022;25
141350;ST. FRANCIS HOSPITAL;07/01/2021;6/30/2022;25
141351;CLAY COUNTY HOSPITAL;03/01/2021;2/28/2022;20
142006;KINDRED HOSPITAL SYCAMORE;09/01/2021;8/31/2022;69
142006;KINDRED HOSPITAL SYCAMORE;12/16/2020;8/31/2021;69
142008;KINDRED HOSPITAL CHICAGO;09/01/2021;8/31/2022;185
142008;KINDRED HOSPITAL CHICAGO;12/16/2020;8/31/2021;185
142009;KINDRED HOSPITAL LAKESHORE;09/01/2021;8/31/2022;72
142009;KINDRED HOSPITAL LAKESHORE;12/17/2020;8/31/2021;140
142010;RML HEALTH PROVIDERS  L.P.;06/01/2021;5/31/2022;184
142011;HOLY FAMILY MEDICAL CENTER;07/01/2021;6/30/2022;128
142013;OSF HEALTHCARE TRANSITIONAL CARE HOS;09/01/2021;8/31/2022;18
143025;SCHWAB REHAB HOSP & CARE NETWORK;07/01/2021;6/30/2022;52
143026;SHIRLEY RYAN ABILITYLAB;09/01/2021;8/31/2022;225
143027;MARIANJOY REHAB HOSPITAL & CLINIC;09/01/2021;8/31/2022;125
143028;VAN MATRE ENCOMPASS HEALTH REHABILIT;01/01/2021;12/31/2021;65
143029;ANDERSON REHABILITATION HOSPITAL;8/22/2021;12/31/2021;34
143300;ANN & ROBERT H. LURIE CHILDRENS HOS;09/01/2021;8/31/2022;364
143301;LARABIDA CHILDRENS HOSPITAL;07/01/2021;6/30/2022;30
143302;SHRINERS HOSPITALS FOR CHILDREN;01/01/2021;12/31/2021;
144009;RIVEREDGE HOSPITAL;01/01/2021;12/31/2021;224
144010;CHICAGO READ MENTAL HEALTH CENTER;07/01/2021;6/30/2022;162
144016;ALTON MENTAL HEALTH CENTER;07/01/2021;6/30/2022;132
144021;MCFARLAND MENTAL HEALTH CENTER;07/01/2021;6/30/2022;142
144026;HARTGROVE HOSPITAL;01/01/2021;12/31/2021;160
144028;JOHN J MADDEN MENTAL HEALTH CENTER;07/01/2021;6/30/2022;140
144029;THE PAVILION FOUNDATION;01/01/2021;12/31/2021;110
144031;ALEXIAN BROTHERS BEHAVIORAL HEALTH;07/01/2021;6/30/2022;141
144034;STREAMWOOD;07/01/2021;6/30/2022;178
144035;LINDEN OAKS HOSPITAL;07/01/2021;6/30/2022;110
144037;ELGIN MENTAL HEALTH CENTER;07/01/2021;6/30/2022;427
144038;CHOATE MENTAL HEALTH CENTER;07/01/2021;6/30/2022;238
144039;GARFIELD PARK HOSPITAL;07/01/2021;6/30/2022;
144040;CHICAGO BEHAVIORAL HOSPITAL;01/01/2021;12/31/2021;145
144041;SILVER OAKS BEHAVIORAL HOSPITAL;01/01/2021;12/31/2021;100
144042;LAKE BEHAVIORAL HOSPITAL;10/01/2020;9/30/2021;146
150001;JOHNSON MEMORIAL HOSPITAL;01/01/2021;12/31/2021;49
150002;METHODIST HOSPITALS  INC;01/01/2021;12/31/2021;453
150004;FRANCISCAN HEALTH HAMMOND;01/01/2021;12/31/2021;56
150005;HENDRICKS REGIONAL HEALTH;01/01/2021;12/31/2021;130
150006;LAPORTE HOSPITAL;01/01/2021;12/31/2021;74
150007;COMMUNITY HOWARD REGIONAL HEALTH;01/01/2021;12/31/2021;113
150008;ST. CATHERINE HOSPITAL;07/01/2021;6/30/2022;131
150009;CLARK MEMORIAL HOSPITAL;08/01/2021;7/31/2022;168
150010;ASCENSION ST. VINCENT KOKOMO;07/01/2021;6/30/2022;129
150011;MARION GENERAL HOSPITAL;07/01/2021;6/30/2022;126
150012;ST. JOSEPHS REG MED CENTER S. BEND;07/01/2021;6/30/2022;253
150015;FRANCISCAN HEALTH MICHIGAN CITY;01/01/2021;12/31/2021;113
150017;LUTHERAN HOSPITAL OF INDIANA;07/01/2021;6/30/2022;387
150018;ELKHART GENERAL HOSPITAL;01/01/2021;12/31/2021;244
150021;PARKVIEW HOSPITAL;01/01/2021;12/31/2021;938
150022;FRANCISCAN HEALTH CRAWFORDSVILLE;01/01/2021;12/31/2021;40
150023;UNION HOSPITAL  INC.;01/01/2021;12/31/2021;259
150024;ESKENAZI HEALTH;01/01/2021;12/31/2021;343
150026;GOSHEN HOSPITAL;01/01/2021;12/31/2021;109
150030;HENRY COUNTY MEMORIAL HOSPITAL;01/01/2021;12/31/2021;48
150034;ST. MARY MEDICAL CENTER  INC.;07/01/2021;6/30/2022;200
150035;PORTER REGIONAL HOSPITAL;01/01/2021;12/31/2021;252
150037;HANCOCK REGIONAL HOSPITAL;01/01/2021;12/31/2021;95
150042;GOOD SAMARITAN HOSPITAL;01/01/2021;12/31/2021;144
150044;BAPTIST HEALTH FLOYD;09/01/2021;8/31/2022;248
150045;PARKVIEW - DEKALB HEALTH;10/01/2020;12/31/2020;57
150045;PARKVIEW - DEKALB HEALTH;01/01/2021;12/31/2021;64
150046;TERRE HAUTE REGIONAL HOSPITAL;09/01/2021;8/31/2022;189
150047;LUTHERAN DOWNTOWN HOSPITAL;06/01/2021;5/31/2022;60
150048;REID HOSPITAL & HEALTH CARE SERVICES;01/01/2021;12/31/2021;231
150051;IU HEALTH BLOOMINGTON HOSPITAL;01/01/2021;12/31/2021;270
150056;INDIANA UNIVERSITY HEALTH;01/01/2021;12/31/2021;1293
150057;FRANCISCAN HEALTH MOORESVILLE;01/01/2021;12/31/2021;80
150058;MEMORIAL HOSPITAL OF SOUTH BEND  INC;01/01/2021;12/31/2021;449
150059;RIVERVIEW HOSPITAL;01/01/2021;12/31/2021;143
150061;DAVIESS COMMUNITY HOSPITAL;01/01/2021;12/31/2021;68
150065;SCHNECK MEDICAL CENTER;01/01/2021;12/31/2021;83
150069;KINGS DAUGHTERS HOSPITAL;01/01/2021;12/31/2021;62
150072;MEMORIAL HOSPITAL LOGANSPORT;01/01/2021;12/31/2021;37
150074;COMMUNITY HEALTH NETWORK  INC.;01/01/2021;12/31/2021;366
150075;BLUFFTON REGIONAL MEDICAL CENTER;10/01/2020;9/30/2021;44
150076;ST. JOSEPHS REG MED CENTER PLYMOUTH;07/01/2021;6/30/2022;45
150082;DEACONESS HOSPITAL;10/01/2020;9/30/2021;549
150084;ASCENSION ST. VINCENT HOSPITAL;07/01/2021;6/30/2022;856
150086;ST ELIZABETH DEARBORN;01/01/2021;12/31/2021;61
150086;ST ELIZABETH DEARBORN;11/01/2020;12/31/2020;62
150088;ASCENSION ST. VINCENT ANDERSON;07/01/2021;6/30/2022;157
150089;BALL MEMORIAL HOSPITAL;01/01/2021;12/31/2021;330
150090;FRANCISCAN HEALTH- DYER;01/01/2021;12/31/2021;142
150091;HUNTINGTON MEMORIAL HOSPITAL;01/01/2021;12/31/2021;36
150097;MAJOR HOSPITAL;01/01/2021;12/31/2021;46
150100;ASCENSION ST. VINCENT EVANSVILLE;07/01/2021;6/30/2022;376
150101;WHITLEY MEMORIAL HOSPITAL;01/01/2021;12/31/2021;30
150102;STARKE MEMORIAL HOSPITAL;01/01/2021;12/31/2021;15
150104;WITHAM MEMORIAL HOSPITAL;01/01/2021;12/31/2021;104
150109;FRANCISCAN HEALTH LAFAYETTE;01/01/2021;12/31/2021;199
150112;COLUMBUS REGIONAL HOSPITAL;01/01/2021;12/31/2021;266
150113;COMMUNITY HOSPITAL ANDERSON;01/01/2021;12/31/2021;124
150115;MEMORIAL HOSP & HEALTH CARE CTR;07/01/2021;6/30/2022;128
150125;COMMUNITY HOSPITAL;07/01/2021;6/30/2022;399
150126;FRANCISCAN HEALTH CROWN POINT;01/01/2021;12/31/2021;192
150128;COMMUNITY HOSPITAL SOUTH;01/01/2021;12/31/2021;169
150133;KOSCIUSKO COMMUNITY HOSPITAL;03/01/2021;2/28/2022;72
150146;COMMUNITY HOSPITAL OF NOBLE CTY  INC;01/01/2021;12/31/2021;31
150149;DEACONESS WOMENS HOSPITAL;01/01/2021;12/31/2021;74
150150;DUPONT HOSPITAL;04/01/2021;3/31/2022;131
150153;ST. VINCENT HEART CENTER;07/01/2021;6/30/2022;107
150157;ASCENSION ST. VINCENT CARMEL;07/01/2021;6/30/2022;121
150158;IU HEALTH WEST HOSPITAL;01/01/2021;12/31/2021;156
150160;INDIANA ORTHOPAEDIC HOSPITAL LLC;01/01/2021;12/31/2021;38
150161;IU HEALTH NORTH HOSPITAL;01/01/2021;12/31/2021;149
150162;FRANCISCAN HEALTH INDIANAPOLIS;01/01/2021;12/31/2021;519
150165;FRANCISCAN HEALTH MUNSTER;01/01/2021;12/31/2021;75
150166;PINNACLE HOSPITAL;01/01/2021;12/31/2021;18
150167;ORTHOPAEDIC HOSPT.AT PARKVIEW;01/01/2021;12/31/2021;37
150168;LUTHERAN MUSCULOSKELETAL CENTER;01/01/2021;12/31/2021;39
150169;COMMUNITY HOSPITAL OF INDIANA  INC.;01/01/2021;12/31/2021;328
150172;PHYSICIANS MEDICAL CENTER;01/01/2021;12/31/2021;10
150173;IU HEALTH ARNETT HOSPITAL;01/01/2021;12/31/2021;185
150177;UNITY MEDICAL AND SURGICAL HOSPITAL;01/01/2021;12/31/2021;29
150179;FAIRBANKS;01/01/2021;12/31/2021;52
150181;ASCENSION ST. VINCENT FISHERS;07/01/2021;6/30/2022;46
150183;MONROE  HOSPITAL;01/01/2021;12/31/2021;32
150191;FRANCISCAN BEACON HOSPITAL;3/24/2021;12/31/2021;8
151300;COMMUNITY HOSPITAL OF BREMEN  INC.;01/01/2021;12/31/2021;24
151301;ASCENSION ST. VINCENT RANDOLPH;07/01/2021;6/30/2022;25
151302;IU HEALTH BLACKFORD HOSPITAL;01/01/2021;12/31/2021;15
151303;ASCENSION ST. VINCENT JENNINGS;07/01/2021;6/30/2022;25
151304;RUSH MEMORIAL HOSPITAL;01/01/2021;12/31/2021;25
151305;PULASKI MEMORIAL HOSPITAL;10/01/2020;9/30/2021;25
151306;IU HEALTH PAOLI HOSPITAL;01/01/2021;12/31/2021;24
151307;ASCENSION ST. VINCENT WILLIAMSPORT;07/01/2021;6/30/2022;16
151308;ASCENSION ST. VINCENT MERCY;07/01/2021;6/30/2022;18
151309;ASCENSION ST. VINCENT CLAY;07/01/2021;6/30/2022;25
151310;PARKVIEW WABASH HOSPITAL  INC.;01/01/2021;12/31/2021;18
151311;IU HEALTH TIPTON HOSPITAL;01/01/2021;12/31/2021;25
151312;IU HEALTH WHITE HOSPITAL;01/01/2021;12/31/2021;25
151313;WOODLAWN HOSPITAL;01/01/2021;12/31/2021;25
151314;ASCENSION ST VINCENT SALEM HOSPITAL;07/01/2021;6/30/2022;25
151315;CAMERON MEMORIAL COMMUNITY HOSPITAL;10/01/2020;9/30/2021;25
151316;IU HEALTH FRANKFORT HOSPITAL;01/01/2021;12/31/2021;12
151317;GREENE COUNTY GENERAL HOSPITAL;01/01/2021;12/31/2021;25
151318;DUKES MEMORIAL HOSPITAL;01/01/2021;12/31/2021;25
151319;DEACONESS GIBSON;10/01/2020;9/30/2021;25
151320;IU HEALTH JAY HOSPITAL;01/01/2021;12/31/2021;21
151322;PERRY COUNTY HOSPITAL;01/01/2021;12/31/2021;25
151323;PARKVIEW LAGRANGE HOSPITAL;01/01/2021;12/31/2021;25
151324;FRANCISCAN HEALTH RENSSELAER;01/01/2021;12/31/2021;25
151325;ASCENSION ST. VINCENT WARRICK;07/01/2021;6/30/2022;35
151326;UNION HOSPITAL CLINTON;01/01/2021;12/31/2021;25
151327;SULLIVAN COUNTY COMMUNITY HOSPITAL;01/01/2021;12/31/2021;25
151328;INDIANA UNIVERSITY HEALTH BEDFORD;01/01/2021;12/31/2021;25
151329;MARGARET MARY COMMUNITY HOSPITAL;01/01/2021;12/31/2021;25
151330;ADAMS MEMORIAL HOSPITAL;01/01/2021;12/31/2021;25
151331;HARRISON COUNTY HOSPITAL;01/01/2021;12/31/2021;25
151332;DECATUR CO. MEMORIAL HOSPITAL;01/01/2021;12/31/2021;25
151333;PUTNAM COUNTY HOSPITAL;01/01/2021;12/31/2021;25
151334;SCOTT MEMORIAL HOSPITAL;01/01/2021;12/31/2021;25
151335;ASCENSION ST. VINCENT DUNN;07/01/2021;6/30/2022;25
152007;KINDRED HOSPITAL INDIANAPOLIS;09/01/2021;8/31/2022;59
152013;KINDRED HOSPITAL INDIANAPOLIS NORTH;09/01/2021;8/31/2022;45
152013;KINDRED HOSPITAL INDIANAPOLIS NORTH;06/01/2021;8/31/2021;45
152014;SSH - EVANSVILLE  LLC.;01/01/2021;12/31/2021;60
152020;ASCENSION ST VINCENT SETON SPECIALTY;07/01/2021;6/30/2022;72
152024;RH OF NORTHWEST INDIANA  LLC;02/01/2021;1/31/2022;61
152025;CENTRAL INDIANA-AMG SPECIALTY HOSPIT;09/01/2021;8/31/2022;41
152028;VIBRA HOSPITAL OF NORTHWEST INDIANA;11/01/2020;10/31/2021;40
153025;ENCOMPASS HEALTH DEACONESS REHABILIT;01/01/2021;12/31/2021;98
153028;REHABILITATION HOSPITAL OF INDIANA;01/01/2021;12/31/2021;91
153030;REHABILITATION HOSPITAL OF FT WAYNE;10/01/2020;9/30/2021;36
153037;SOUTHERN INDIANA REHAB HOSPITAL;07/01/2021;6/30/2022;62
153042;LAFAYETTE REGIONAL REHABILITATION HO;01/01/2021;12/31/2021;40
153043;COMMUNITY HEALTH NETWORK REHAB HOSP;01/01/2021;12/31/2021;60
153044;COMMUNITY HEALTH REHAB HOSPITAL SOUT;01/01/2021;12/31/2021;44
153045;COMMUNITY STROKE AND REHABILITATION;07/01/2021;6/30/2022;35
153046;COBALT REHAB HOSPITAL LOUISVILLE;01/01/2021;12/31/2021;40
153047;REHABILITATION HOSPITAL OF NORTHERN;05/01/2021;4/30/2022;40
153048;INDIANAPOLIS REHABILITATION HOSPITAL;3/18/2021;12/31/2021;40
154005;RIVER BEND HOSPITAL;01/01/2021;12/31/2021;16
154008;NUERODIAGNOSTIC INSTITUTE;07/01/2021;6/30/2022;159
154009;HAMILTON CENTER  INC.;07/01/2021;6/30/2022;16
154011;COMMUNITY MENTAL HEALTH CENTER;07/01/2021;6/30/2022;16
154014;THE OTIS R. BOWEN CENTER;07/01/2021;6/30/2022;20
154018;RICHMOND STATE HOSPITAL;07/01/2021;6/30/2022;213
154019;MADISON STATE HOSPITAL;07/01/2021;6/30/2022;150
154020;REGIONAL MENTAL HEALTH CENTER;07/01/2021;6/30/2022;16
154021;GRANT BLACKFORD MENTAL HEALTH  INC.;07/01/2021;6/30/2022;16
154024;VALLE VISTA;08/01/2021;7/31/2022;132
154031;OAKLAWN PSYCHIATRIC CENTER  INC.;07/01/2021;6/30/2022;16
154035;FOUR COUNTY COUNSELING CENTER;07/01/2021;6/30/2022;16
154041;BHC MEADOWS HOSPITAL;01/01/2021;12/31/2021;78
154047;MICHIANA BEHAVIORAL HEALTH CTR;09/01/2021;8/31/2022;54
154050;NORTHEASTERN CENTER;07/01/2021;6/30/2022;16
154051;WELLSTONE;01/01/2021;12/31/2021;100
154052;PORTER-STARKE SERVICES  INC;07/01/2021;6/30/2022;16
154054;HARSHA BEHAVIORAL CENTER;01/01/2021;12/31/2021;81
154055;BRENTWOOD SPRINGS;01/01/2021;12/31/2021;48
154056;EVANSVILLE STATE HOSPITAL;07/01/2021;6/30/2022;168
154057;OPTIONS BEHAVIORAL HEALTH SYSTEM;01/01/2021;12/31/2021;84
154058;DOCTORS NEUROPSYCHIATRIC HOSPITAL;01/01/2021;12/31/2021;37
154059;SYCAMORE SPRINGS;01/01/2021;12/31/2021;48
154060;PARK CENTER  INC.;01/01/2021;12/31/2021;16
154061;RIVERCREST SPECIALTY HOSPITAL  LLC;01/01/2021;12/31/2021;30
154063;NEUROPSYCHIATRIC HOSPITAL OF INDIANA;01/01/2021;12/31/2021;50
154064;ASSURANCE HEALTH INDIANAPOLIS;01/01/2021;12/31/2021;43
154065;NEUROBEHAVIORAL HOSPITAL LLC;01/01/2021;12/31/2021;70
154066;BRIGHTWELL BEHAVIORAL HEALTH;01/01/2021;12/31/2021;22
154067;HENDRICKS BEHAVIORAL HOSPITAL;3/24/2021;12/31/2021;112
160001;UNITYPOINT HEALTH-MARSHALLTOWN;01/01/2021;12/31/2021;27
160005;ST. ANTHONY REGIONAL HOSPITAL;07/01/2021;6/30/2022;142
160008;KEOKUK AREA HOSPITAL;01/01/2021;12/31/2021;49
160013;TRINITY MUSCATINE;01/01/2021;12/31/2021;13
160016;TRINITY REGIONAL MEDICAL CENTER;01/01/2021;12/31/2021;44
160028;CHI HEALTH MERCY COUNCIL BLUFFS;07/01/2021;6/30/2022;141
160029;MERCY HOSPITAL IOWA CITY;07/01/2021;6/30/2022;211
160030;MARY GREELEY MEDICAL CENTER;07/01/2021;6/30/2022;211
160032;MERCYONE - NEWTON MEDICAL CENTER;07/01/2021;6/30/2022;48
160033;GENESIS MEDICAL CENTER - DAVENPORT;07/01/2021;6/30/2022;359
160040;MERCYONE CEDAR FALLS MEDICAL CENTER;07/01/2021;6/30/2022;50
160045;ST. LUKES METHODIST HOSPITAL;01/01/2021;12/31/2021;311
160047;JENNIE EDMUNDSON MEMORIAL;01/01/2021;12/31/2021;110
160057;SOUTHEAST IOWA REGIONAL MEDICAL CTR;07/01/2021;6/30/2022;363
160058;UNIVERSITY OF IOWA HOSP & CLINICS;07/01/2021;6/30/2022;805
160064;MERCYONE NORTH IOWA MEDICAL CENTER;07/01/2021;6/30/2022;223
160067;MERCYONE WATERLOO MEDICAL CENTER;07/01/2021;6/30/2022;187
160069;MERCYONE DUBUQUE MEDICAL CENTER;07/01/2021;6/30/2022;156
160079;MERCY MEDICAL CENTER;07/01/2021;6/30/2022;293
160080;MERCYONE CLINTON MEDICAL CENTER;07/01/2021;6/30/2022;107
160082;IOWA METHODIST MEDICAL CENTER;01/01/2021;12/31/2021;666
160083;MERCY MEDICAL CENTER-DES MOINES;07/01/2021;6/30/2022;599
160089;OTTUMWA REGIONAL HEALTH CENTER;05/01/2021;4/30/2022;120
160101;BROADLAWNS MEDICAL CENTER;07/01/2021;6/30/2022;121
160104;TRINITY BETTENDORF;01/01/2021;12/31/2021;82
160110;ALLEN MEMORIAL HOSPITAL;01/01/2021;12/31/2021;203
160112;SPENCER MUNICIPAL HOSPITAL;07/01/2021;6/30/2022;64
160117;THE FINLEY HOSPITAL;01/01/2021;12/31/2021;106
160124;LAKES REGIONAL HEALTHCARE;07/01/2021;6/30/2022;44
160146;ST. LUKES REGL MEDICAL CENTER;01/01/2021;12/31/2021;183
160147;GRINNELL REGIONAL MEDICAL CENTER;01/01/2021;12/31/2021;33
160153;MERCYONE SIOUXLAND MEDICAL CENTER;07/01/2021;6/30/2022;196
161300;MERCYONE PRIMGHAR MEDICAL CENTER;07/01/2021;6/30/2022;14
161301;IOWA SPECIALTY HOSPITAL - BELMOND;07/01/2021;6/30/2022;22
161302;IOWA SPECIALTY HOSPITAL;07/01/2021;6/30/2022;25
161303;GRUNDY COUNTY MEM. HOSPITAL;07/01/2021;6/30/2022;25
161304;CHI HEALTH MERCY CORNING;07/01/2021;6/30/2022;22
161305;POCAHONTAS COMMUNITY HOSPITAL;07/01/2021;6/30/2022;25
161306;JONES REGIONAL MEDICAL CTR;01/01/2021;12/31/2021;10
161307;HANCOCK COUNTY HEALTH SYSTEM;07/01/2021;6/30/2022;25
161308;FRANKLIN GENERAL HOSPITAL;07/01/2021;6/30/2022;77
161309;CHI HEALTH - MISSOURI VALLEY;07/01/2021;6/30/2022;25
161310;ADAIR COUNTY MEMORIAL HOSPITAL;07/01/2021;6/30/2022;25
161311;HAWARDEN REGIONAL HEALTHCARE;07/01/2021;6/30/2022;25
161312;GUTTENBERG MUNICIPAL HOSPITAL;07/01/2021;6/30/2022;25
161313;GENESIS MEDICAL CENTER - DEWITT;07/01/2021;6/30/2022;13
161314;GUTHRIE COUNTY HOSPITAL;07/01/2021;6/30/2022;25
161315;KEOKUK COUNTY HEALTH CENTER;07/01/2021;6/30/2022;25
161316;PALMER LUTHERAN HEALTH CENTER;01/01/2021;12/31/2021;25
161317;COMPASS MEMORIAL HEALTHCARE;07/01/2021;6/30/2022;25
161318;VETERANS MEMORIAL HOSPITAL;07/01/2021;6/30/2022;25
161319;MERCYONE ELKADER MEDICAL CENTER;07/01/2021;6/30/2022;15
161320;COMMUNITY MEM. HOSPT.  SUMMER;01/01/2021;12/31/2021;16
161321;AVERA MERRILL PIONEER HOSPITAL;07/01/2021;6/30/2022;11
161322;DALLAS COUNTY HOSPITAL;07/01/2021;6/30/2022;25
161323;MITCHELL COUNTY REGIONAL HEALTH CENT;07/01/2021;6/30/2022;25
161324;GRAPE COMMUNITY HOSPITAL - HAMBURG;10/01/2020;9/30/2021;25
161325;GREENE COUNTY MEDICAL CENTER;07/01/2021;6/30/2022;25
161326;MADISON COUNTY MEMORIAL HOSPITAL;07/01/2021;6/30/2022;25
161327;DAVIS COUNTY HOSPITAL;07/01/2021;6/30/2022;25
161328;REGIONAL HEALTH SERVICES OF HOWARD C;07/01/2021;6/30/2022;19
161329;JACKSON COUNTY PUBLIC HOSPITAL;07/01/2021;6/30/2022;25
161330;AUDUBON COUNTY MEMORIAL HOSPITAL;07/01/2021;6/30/2022;17
161331;MERCY MEDICAL CENTER - NEW HAMPTON;07/01/2021;6/30/2022;11
161332;MANNING REGIONAL HEALTHCARE CENTER;07/01/2021;6/30/2022;17
161333;STORY COUNTY HOSPITAL;07/01/2021;6/30/2022;97
161334;HUMBOLDT COUNTY MEMORIAL HOSPITAL;07/01/2021;6/30/2022;45
161335;PEOPLES MEMORIAL HOSPITAL;07/01/2021;6/30/2022;64
161336;HEGG MEMORIAL HEALTH CENTER;07/01/2021;6/30/2022;85
161337;VAN BUREN COUNTY HOSPITAL;07/01/2021;6/30/2022;25
161338;MERCYONE OELWEIN MEDICAL CENTER;07/01/2021;6/30/2022;54
161339;WAVERLY HEALTH CENTER;07/01/2021;6/30/2022;21
161340;DECATUR COUNTY HOSPITAL;07/01/2021;6/30/2022;11
161341;LUCAS COUNTY HEALTH CENTER;07/01/2021;6/30/2022;25
161342;MONROE COUNTY HOSPITAL;07/01/2021;6/30/2022;25
161343;DELAWARE COUNTY MEMORIAL HOSPITAL;07/01/2021;6/30/2022;26
161344;WASHINGTON COUNTY HOSPITAL;07/01/2021;6/30/2022;22
161345;OSCEOLA REGIONAL HEALTH CENTER;07/01/2021;6/30/2022;25
161346;SIOUX CENTER HEALTH;07/01/2021;6/30/2022;89
161347;FLOYD COUNTY HOSPITAL;07/01/2021;6/30/2022;25
161348;CLARKE COUNTY PUBLIC HOSPITAL;07/01/2021;6/30/2022;25
161349;VIRGINIA GAY HOSPITAL;07/01/2021;6/30/2022;65
161350;STEWART MEMORIAL HOSPITAL;01/01/2021;12/31/2021;25
161351;AVERA HOLY FAMILY HEALTH;07/01/2021;6/30/2022;22
161352;CLARINDA REGIONAL HEALTH CENTER;07/01/2021;6/30/2022;25
161353;KOSSUTH REGIONAL HEALTH CENTER;07/01/2021;6/30/2022;25
161354;HORN MEMORIAL HOSPITAL;01/01/2021;12/31/2021;25
161355;KNOXVILLE COMMUNITY HOSPITAL INC;07/01/2021;6/30/2022;25
161356;HENRY COUNTY HEALTH CENTER;07/01/2021;6/30/2022;74
161357;PALO ALTO COUNTY HOSPITAL;07/01/2021;6/30/2022;47
161358;WAYNE COUNTY HOSPITAL;07/01/2021;6/30/2022;25
161359;BURGESS HEALTH CENTER;07/01/2021;6/30/2022;25
161360;ORANGE CITY MUNICIPAL HOSPITAL;07/01/2021;6/30/2022;25
161361;VAN DIEST MEDICAL CENTER;07/01/2021;6/30/2022;25
161362;CHEROKEE REGIONAL MEDICAL CENTER;01/01/2021;12/31/2021;25
161363;MONTGOMERY CNTY MEMORIAL HOSPITAL;07/01/2021;6/30/2022;25
161364;JEFFERSON COUNTY HOSPITAL;07/01/2021;6/30/2022;25
161365;GREATER REGIONAL MEDICAL CENTER;07/01/2021;6/30/2022;25
161366;SHENANDOAH MEDICAL CENTER;01/01/2021;12/31/2021;25
161367;PELLA REGIONAL HEALTH CENTER;01/01/2021;12/31/2021;31
161368;FLOYD VALLEY HOSPITAL;07/01/2021;6/30/2022;25
161369;CRAWFORD COUNTY MEMORIAL HOSPITAL;07/01/2021;6/30/2022;25
161370;LORING HOSPITAL;07/01/2021;6/30/2022;25
161371;WINNESHIEK MEDICAL CENTER;07/01/2021;6/30/2022;25
161372;BOONE COUNTY HOSPITAL;07/01/2021;6/30/2022;25
161373;RINGGOLD COUNTY HOSPITAL;07/01/2021;6/30/2022;16
161374;MYRTUE MEDICAL CENTER;07/01/2021;6/30/2022;25
161375;BUENA VISTA REGIONAL MEDICAL CENTER;07/01/2021;6/30/2022;35
161376;CASS COUNTY MEMORIAL HOSPITAL;07/01/2021;6/30/2022;25
161377;MERCY MEDICAL CENTER-CENTERVILLE;07/01/2021;6/30/2022;39
161378;MERCYONE DYERSVILLE MEDICAL CENTER;07/01/2021;6/30/2022;20
161379;MAHASKA HEALTH PARTNERSHIP;07/01/2021;6/30/2022;26
161380;HANSEN FAMILY HOSPITAL;07/01/2021;6/30/2022;17
161381;SANFORD MEDICAL CENTER SHELDON;01/01/2021;12/31/2021;95
162001;SSH - QUAD CITIES  INC.;02/01/2021;1/31/2022;50
162003;SSH - DES MOINES;01/01/2021;12/31/2021;30
163025;MERCY REHAB HOSPITAL IOWA;01/01/2021;12/31/2021;50
163026;MERCY IOWA CITY REHABILITATION HOSPI;01/01/2021;12/31/2021;40
164002;MENTAL HEALTH INSTITUTE;07/01/2021;6/30/2022;
164003;MENTAL HEALTH INSTITUTE;07/01/2021;6/30/2022;56
164006;EAGLE VIEW BEHAVIORAL HEALTH;01/01/2021;12/31/2021;72
164007;CLIVE BEHAVORIAL HEALTH LLC;05/12/2021;3/31/2022;100
170006;VIA CHRISTI HOSPITAL PITTSBURG  INC.;04/01/2021;3/31/2022;76
170009;SAINT JOHN HOSPITAL;01/01/2021;12/31/2021;52
170012;SALINA REGIONAL HEALTH CENTER;10/01/2020;9/30/2021;207
170013;HAYS MEDICAL CENTER  INC.;07/01/2021;6/30/2022;144
170014;ADVENTHEALTH OTTAWA;10/01/2020;9/30/2021;44
170016;ST.FRANCIS HEALTH CENTER;07/01/2021;6/30/2022;264
170017;SUSAN B. ALLEN MEMORIAL HOSPITAL;01/01/2021;12/31/2021;20
170020;HUTCHINSON REGIONAL MEDICAL CENTER;07/01/2021;6/30/2022;172
170023;CENTURA ST. CATHERINE - GARDEN CITY;07/01/2021;6/30/2022;100
170027;PRATT REGIONAL MEDICAL CENTER;10/01/2020;9/30/2021;81
